date2,QUOTA ALLOCATED, LOAD DRAWN (MW),LAOD SHEDDING (MW) (LOAD MANAGEMENT),TOTAL DEMAND (MW) 
1/1/2017,34873,34910,4292,39202
1/2/2017,30143,35086,6150,41236
1/3/2017,32783,38132,6132,44264
1/4/2017,33532,39435,5555,44990
1/5/2017,34076,40535,5074,45609
1/6/2017,34200,39874,5160,45034
1/7/2017,34408,40082,4915,44997
1/8/2017,33746,35544,4284,39828
1/9/2017,33500,36605,6442,43047
1/10/2017,34356,39741,6191,45932
1/11/2017,34057,40271,6123,46394
1/12/2017,34149,40226,5048,45274
1/13/2017,35003,41753,4751,46504
1/14/2017,35110,41130,4685,45815
1/15/2017,35069,33433,6779,40212
1/16/2017,35379,33996,6948,40944
1/17/2017,36127,40847,5425,46272
1/18/2017,37180,42646,5041,47687
1/19/2017,37656,42380,5171,47551
1/20/2017,36675,39892,9086,48978
1/21/2017,36889,39364,9276,48640
1/22/2017,36102,39948,3983,43931
1/23/2017,36773,39705,8283,47988
1/24/2017,37013,40409,8456,48865
1/25/2017,38068,40374,6415,46789
1/26/2017,37259,40161,6042,46203
1/27/2017,36464,39950,6023,45973
1/28/2017,36484,41226,4128,45354
1/29/2017,35274,36434,3831,40265
1/30/2017,35527,39611,4940,44551
1/31/2017,35745,76681,81126,126507
2/1/2017,36215,41017,4643,45660
2/2/2017,37205,42012,4063,46075
2/3/2017,37117,42049,4046,46095
2/4/2017,37132,39685,5037,44722
2/5/2017,36080,35117,3665,38782
2/6/2017,35454,40856,4921,45777
2/7/2017,35943,40856,4921,45777
2/8/2017,35773,41699,4929,46628
2/9/2017,35840,42127,4749,46876
2/10/2017,36042,42845,4164,47009
2/11/2017,36769,42233,4242,46475
2/12/2017,35614,37758,3918,41676
2/13/2017,36745,40522,5061,45583
2/14/2017,36739,41868,5109,46977
2/15/2017,36889,42045,4977,47022
2/16/2017,36870,42002,4897,46899
2/17/2017,36859,42778,4300,47078
2/18/2017,36775,42876,4464,47340
2/19/2017,36096,38569,3958,42527
2/20/2017,36610,42035,5019,47054
2/21/2017,36517,42523,5365,47888
